Title,Genre,Length
Tiyo Tigre at Tiyo Kuneho,Pabula,Long
"Ang Lalaki, ang Bata, at ang Asno",Kwentong Bayan,Long
Ang Dalawang Aso ng Mangangaso,Pabula,Long
Ang Kabayo at Kalabaw,Pabula,Long
Ang Dalawang Magkaibigan at ang Oso,Kwentong Bayan,Long
Pabula ng Mindanao,Pabula,Short
Ang Agila at Maya,Pabula,Long
Ang Buwaya at ang Pabo,Pabula,Long
Ang Gorilya at ang Alitaptap,Pabula,Long
Ang Inahing Manok at Ang Kanyang Sisiw,Pabula,Long
Ang Madaldal na Pagong,Pabula,Long
Ang Mag-Anak na Langgam,Pabula,Long
Ang Magkapitbahay na Kambing at Kalabaw,Pabula,Long
Ang Masamang Kalahi,Pabula,Long
Ang Palaka at Kalabaw,Pabula,Long
Saan Nanggaling ang Punong Papaya?,Alamat,Long
Sa Lanaw at Kotabato,Kwentong Bayan,Long
Ang Unang Sampaguita,Alamat,Long
Ang Puso ng mga Dalaga,Alamat,Long
Ang Alamat ng Bigas,Alamat,Long
Ang Alamat ng Kasoy,Alamat,Long
Ang Alamat ng Sampalok,Alamat,Long
Ang Alamat ng Makopa,Alamat,Long
Alamat ng Paruparo,Alamat,Long
Alamat ng Mangga,Alamat,Long
Alamat ng Butiki,Alamat,Long
Alamat ng Anay,Alamat,Long
Alamat ng Luha,Alamat,Long
Alamat ng Langgam,Alamat,Long
Alamat ng Daliri,Alamat,Long
"Bakit laging nag aaway ang Aso, Pusa, at Daga?",Pabula,Long
Ang Sapatero at ang mga Duwende,Kwentong Bayan,Long
Ang Mag-Asawang walang Anak,Kwentong Bayan,Long
Alamat ng Durian,Alamat,Long
Alamat ng Ahas,Alamat,Long
Saan Nanggaling ang Unang Ahas?,Alamat,Long
Ang Lobo at ang Kambing,Pabula,Long
Alamat ng Lansones,Alamat,Long
Bakit Dinadagit ng Lawin ang mga Sisiw?,Pabula,Short
Alamat ng Bulkang Mayon,Alamat,Long
Alamat ng Saging,Alamat,Long
Alamat ng Aso,Alamat,Long
Ang Punong Kawayan,Pabula,Long
Alamat ng Ampalaya,Alamat,Long
Alamat ng Lapis,Alamat,Long
Ang Ipis at Pusa,Pabula,Long
Ang Alamat ng Bahaghari,Alamat,Long
Alamat ng Pabo,Alamat,Long
